id,name,hash
GEEN_000_00,Attack Power I,95858B63
GEEN_000_01,Attack Power II,3D9B8E6F
GEEN_000_02,Attack Power III,A5B20C3C
GEEN_000_03,Attack Power IV,102FF7AA
GEEN_000_04,Attack Power V,BE3C851C
GEEN_000_10,Attack Power I+,EF08F02C
GEEN_000_11,Attack Power II+,6C788459
GEEN_000_12,Attack Power III+,F1839306
GEEN_000_13,Attack Power IV+,922804EF
GEEN_000_14,Attack Power V+,08DA7279
GEEN_001_00,Health I,A6EE588A
GEEN_001_01,Health II,C37D080A
GEEN_001_02,Health III,58FFAEAA
GEEN_001_03,Health IV,921BB96E
GEEN_001_04,Health V,5E7EEEC4
GEEN_003_00,Critical Hit Rate I,82CEA35A
GEEN_003_01,Critical Hit Rate II,430FB951
GEEN_003_02,Critical Hit Rate III,D32C0CAF
GEEN_003_03,Critical Hit Rate IV,F1D9E8DD
GEEN_003_04,Critical Hit Rate V,A7856A22
GEEN_013_00,Critical Damage I,B570D9CA
GEEN_013_01,Critical Damage II,E9917AC1
GEEN_013_02,Critical Damage III,B6552BA8
GEEN_013_03,Critical Damage IV,04D028E3
GEEN_013_04,Critical Damage V,E347B563
GEEN_014_00,Exploiter I,793CFAC5
GEEN_014_01,Exploiter II,A8DC84BD
GEEN_014_02,Exploiter III,062ECB15
GEEN_014_03,Exploiter IV,6056E1C7
GEEN_014_04,Exploiter V,F7707CAC
GEEN_017_00,Combo Finisher I,F7B836F6
GEEN_017_01,Combo Finisher II,FA3DB1E3
GEEN_017_02,Combo Finisher III,D959A6D2
GEEN_017_03,Combo Finisher IV,E0B702C6
GEEN_017_04,Combo Finisher V,C7D94DC9
GEEN_018_00,Concentrated Fire I,628DD0DF
GEEN_018_01,Concentrated Fire II,CBABDB59
GEEN_018_02,Concentrated Fire III,B2C6F95A
GEEN_018_03,Concentrated Fire IV,8F1B4DC4
GEEN_018_04,Concentrated Fire V,3B48E4E7
GEEN_020_00,Damage Cap I,C6B1BBE6
GEEN_020_01,Damage Cap II,4E988D4F
GEEN_020_02,Damage Cap III,B60D6796
GEEN_020_03,Damage Cap IV,D393DA22
GEEN_020_04,Damage Cap V,EE732781
GEEN_024_00,Combo Booster I,905C6D7F
GEEN_024_01,Combo Booster II,91CC46C0
GEEN_024_02,Combo Booster III,D657DB39
GEEN_024_03,Combo Booster IV,17CE9A47
GEEN_024_04,Combo Booster V,7AA335B6
ITEM_01_0000,Cobblestone,DB1D4F35
ITEM_01_0001,Whorlshroom,D5E89BC8
ITEM_01_0002,Tempestone,DEED762B
ITEM_01_0003,Valley Bloom,B451E459
ITEM_01_0010,Charred Lumber,EB0CCD8D
ITEM_01_0011,Damaged Tail Fin,1C67E865
ITEM_01_0012,Machine Unit,F430B195
ITEM_01_0013,High-Grade Scrap,C3D96C52
ITEM_01_0020,Ice Spire,E0937C5B
ITEM_01_0021,Snow Pillow,2D510205
ITEM_01_0022,Frosted Flower,1CF9A666
ITEM_01_0023,Eternal Snowflake,DD3F9978
ITEM_01_0030,Desert Ash,206C6EC1
ITEM_01_0031,Red-Hot Cactus,926D4AE9
ITEM_01_0032,Fornax Stone,EB0A1DC8
ITEM_01_0033,Electromagnetic Sand,050C5228
ITEM_01_0040,Magma Worm,514D7AA0
ITEM_01_0041,Salamander Egg,759850CA
ITEM_01_0042,Vermillion Powder,26FA7DA3
ITEM_01_0043,Phondam Sulfur,C263CCDC
ITEM_01_0050,Busted Manikin,726575FF
ITEM_01_0051,Aviaeth Prayer Book,C2E4D287
ITEM_01_0052,Patalena Glass,79C247F6
ITEM_01_0053,Bloomsword Hilt,09C7A73E
ITEM_01_0060,Welkin Reflection,7992B6F0
ITEM_01_0061,Dark Liquid,3031E3E4
ITEM_01_0062,Disast Ore,FEEAFCCF
ITEM_01_0063,Astral Matter,6E49A111
ITEM_02_0000,Wind Shard,9519F56A
ITEM_02_0001,Wind Orb,141EF3A7
ITEM_02_0002,Cyclone Orb,5CEADFBC
ITEM_02_0010,Water Shard,9352DED3
ITEM_02_0011,Water Orb,8B75E58A
ITEM_02_0012,Frost Orb,1AA4382D
ITEM_02_0020,Earth Shard,8E1CB52D
ITEM_02_0021,Earth Orb,9C694865
ITEM_02_0022,Rumbling Orb,28592CB2
ITEM_02_0030,Fire Shard,B78AC87F
ITEM_02_0031,Fire Orb,92781B4B
ITEM_02_0032,Inferno Orb,38D2ECD0
ITEM_02_0040,Dark Shard,ABA63A29
ITEM_02_0041,Dark Orb,208FA9E4
ITEM_02_0042,Abysm Orb,F6EE4068
ITEM_02_0050,Light Shard,FA737B89
ITEM_02_0051,Light Orb,6BDF6669
ITEM_02_0052,Shining Orb,15C3F606
ITEM_03_0000,Furycane Anima,D15091D9
ITEM_03_0001,Furycane Omega Anima,4F1E4C13
ITEM_03_0002,Vitality Hoof,729D7FB0
ITEM_04_0000,Managarmr Anima,815B2EE4
ITEM_04_0001,Managarmr Omega Anima,1A114B03
ITEM_04_0002,Sequestered Mane,173851D4
ITEM_05_0000,Excavallion Anima,BC413B80
ITEM_05_0001,Excavallion Omega Anima,13FCF405
ITEM_05_0002,Fortified Hearth,BA799E24
ITEM_06_0000,Vulkan Bolla Anima,451F7D7A
ITEM_06_0001,Vulkan Bolla Omega Anima,E5481168
ITEM_06_0002,Dreaded Tail,4C4CAA77
ITEM_07_0000,Angra Mainyu Anima,434C567F
ITEM_07_0001,Angra Mainyu Omega Anima,ED3B872D
ITEM_07_0002,Calamitous Hand,5E2D3D63
ITEM_08_0000,Damascus Ingot,43915122
ITEM_09_0000,Protector's Pride,C05CA6A1
ITEM_09_0001,Id Anamnesis,6B4E2182
ITEM_09_0002,Destrudo,E35076B2
ITEM_09_0010,Alpha Wolf's Valor,C783F39D
ITEM_09_0011,Gallanza Anamnesis,99307633
ITEM_09_0012,Silver Wolf Clovis,0F6B4A1F
ITEM_09_0020,Bladecaller's Gambit,DF18535C
ITEM_09_0021,Maglielle Anamnesis,B4693222
ITEM_09_0022,Cutthroat Fang,65C8078D
ITEM_10_0000,Fortitude Shard,687733C4
ITEM_10_0001,Fortitude Crystal (S),644536DF
ITEM_10_0002,Fortitude Crystal (M),7948DE7D
ITEM_10_0003,Fortitude Crystal (L),24DF54EE
ITEM_11_0000,Copper Spellbook,E379E863
ITEM_11_0001,Silver Spellbook,648CDA74
ITEM_11_0002,Gold Spellbook,AD856C0C
ITEM_12_0000,Ambrosia,9B442642
ITEM_13_0000,Green Potion,3916849C
ITEM_13_0001,Mega Potion,94132AE1
ITEM_13_0002,Blue Potion,A84CA7E9
ITEM_13_0003,Revival Potion,E6E075E8
ITEM_14_0000,Azurite's Splendor,B2045655
ITEM_14_0003,Silver Centrum,90DF952A
ITEM_14_0010,Prism Chip,8816ADC5
ITEM_14_0011,Flawed Prism,4325AB79
ITEM_14_0012,Flawless Prism,7CFA41FC
ITEM_14_0013,Rainbow Prism,23F2E797
ITEM_14_0020,Champion Merit,9738C87A
ITEM_14_0021,Supreme Merit,6F1FABE6
ITEM_14_0022,Legendary Merit,2E94D39A
ITEM_14_0030,Copper Dalia Badge,5D7078CD
ITEM_14_0031,Silver Dalia Badge,81BF605C
ITEM_14_0032,Gold Dalia Badge,5C07839A
ITEM_14_0050,Revenant Medallion,60CB5EA6
ITEM_14_0051,Supreme Weapon Essence,659230F4
ITEM_15_0000,Rafale Coin,DE302978
ITEM_15_0001,Standard Refinium,541D3800
ITEM_15_0002,Quality Refinium,99D6247E
ITEM_15_0003,Exceptional Refinium,24725515
ITEM_16_0000,Heliotrope Urn,0F479FA7
ITEM_31_0050,Frostbeast Claw,D6CC00D6
ITEM_31_0051,Frostbeast Plate,9282ABBE
ITEM_31_0052,Frostbeast Horn,D943BEE6
ITEM_31_0060,Flamebeast Claw,354D4683
ITEM_31_0061,Flamebeast Plate,F82726D9
ITEM_31_0062,Flamebeast Horn,4C9BE4DE
ITEM_31_0070,Mythril Wheel,D465046A
ITEM_31_0071,Condemnation Saw,B763E7AC
ITEM_31_0072,Ether Battery,7EB26854
ITEM_31_0073,Extension Bracer,D7DB4607
ITEM_31_0074,Swivel Cannon,C5406BBA
ITEM_31_0075,Judgment Prongs,23C59C51
ITEM_31_0080,Golem Finger,D5AF421A
ITEM_31_0081,Golem Rockjaw,99F44080
ITEM_31_0082,Crowning Parapet,77DF2F30
ITEM_31_0090,Chieftain's Braid,000EB8F5
ITEM_31_0091,Greatshield Fragment,9E0FFA73
ITEM_31_0092,Broken Savage Sword,3048DAA9
ITEM_32_0030,Tayu'itar Head Unit,67E3F274
ITEM_32_0031,Ukhar Core,1DA0A639
ITEM_32_0040,Death Nail,C037D7F0
ITEM_32_0041,Wing of Portent,3C3B449F
ITEM_32_0042,Crown of Lament,0F34EABC
ITEM_32_0043,Rancorous Lance,3AE09B39
ITEM_32_0050,Ancient Hollowpoint,5A5FA153
ITEM_32_0051,Crimson Horn,6D876FAB
ITEM_32_0052,Frozen Horn,9BA6E51D
ITEM_32_0053,Terra Horn,82C111C8
ITEM_32_0054,Typhoon Horn,745FD287
ITEM_32_0055,Bright Horn,786407F5
ITEM_32_0056,Abyssal Horn,09F9339E
ITEM_32_0060,Calamity Corkscrew,E68DA071
ITEM_32_0070,Horn of Bahamut,2D007309
ITEM_32_0080,Lunary Detector,D1D832C0
ITEM_32_0081,Lunary Cell,C1DCB7AE
ITEM_33_0001,Internal Material Slot 33-0001,7B3F6DD9
ITEM_33_0002,Internal Material Slot 33-0002,7388FE67
ITEM_33_0003,Vallion Commemorative Coin,82619167
ITEM_33_0004,Internal Material Slot 33-0004,3CA218DD
ITEM_34_1000,Glitterstone (S),A7C72F41
ITEM_34_2000,Glitterstone (L),30E31AFE
ITEM_34_3000,Glittercrystal,147EF70A
ITEM_34_4000,Glittercrystal Cluster,F692F716
ITEM_35_0000,Rupie,8E5A0C09
ITEM_35_1000,Mastery Point,0657F403
ITEM_36_0000,Gold Badge Ticket,F8F91F7E
ITEM_50_0000,Windcrest,CB39E0FC
ITEM_50_0001,Beast Warding Stick,29BBA035
ITEM_50_0002,Well-Used Gardening Tools,E600BE75
ITEM_50_0003,Evergreen Crystal,7F695B76
ITEM_50_0004,Azure Gemstone,E8C461CA
ITEM_50_0005,Tears of Repentance,F384E322
ITEM_50_0006,Twilight Sphere,CD6AF550
ITEM_50_0007,Kaleidosphere,EAC2D7AB
ITEM_50_0008,Iridescent Effigy Shell,131A4636
ITEM_50_0009,Midnight Sun's Amber,9FC6585E
ITEM_50_0010,Desert Oil,CE0B379E
ITEM_60_0000,Wee Pincer,EE2559C6
ITEM_70_0001,Life Link,CB0781EF
