id,name,hash,aliases
ITEM_02_0041,Dark Orb,208FA9E4,Treasure; sheet ambiguous alias Abysm Orb?; LE E4A98F20; E4A98F20; Google Sheet sync
ITEM_02_0042,Abysm Orb,F6EE4068,Treasure; sheet alias Abysm Orb?; LE 6840EEF6; 6840EEF6; Google Sheet sync
ITEM_05_0000,Excavallion Anima,BC413B80,Treasure; sheet typo Excavillion Anima; LE 803B41BC; 803B41BC; Google Sheet sync
ITEM_15_0003,Exceptional Refinium,24725515,Treasure; sheet typo Execptional Refinium; LE 15557224; 15557224; Google Sheet sync
ITEM_16_0001,Demigod Feather,01EAA064,Treasure; LE 64A0EA01; 64A0EA01; Google Sheet sync
ITEM_16_0004,Divinity Shackle,181381E5,Treasure; LE E5811318; E5811318; Google Sheet sync
ITEM_16_0012,Chronos Core,6096C6BF,Treasure; LE BFC69660; BFC69660; Google Sheet sync
ITEM_17_0000,Furycane Nihilla Core,54FC643A,Treasure; LE 3A64FC54; 3A64FC54; Google Sheet sync
ITEM_18_0000,Dark Residue,1E133AAC,Treasure; LE AC3A131E; AC3A131E; Google Sheet sync
ITEM_19_0001,Curio X,F42D8C01,Treasure; LE 018C2DF4; 018C2DF4; Google Sheet sync
ITEM_19_0002,Curio (T2),6198F427,Treasure; LE 27F49861; 27F49861; Google Sheet sync
ITEM_19_0003,Curio (T3),4AC30D94,Treasure; LE 940DC34A; 940DC34A; Google Sheet sync
ITEM_19_0004,Curio (T4),76079579,Treasure; LE 79950776; 79950776; Google Sheet sync
ITEM_22_0000,Dragon Scale,BEE8897D,Treasure; LE 7D89E8BE; 7D89E8BE; Google Sheet sync
ITEM_22_0010,Dragon Wing,8FFE7300,Treasure; LE 0073FE8F; 0073FE8F; Google Sheet sync
ITEM_22_0020,Red Dragon Scale,05D2CF79,Treasure; inferred weapon uncap wyrm material; LE 79CFD205; GBID sequence
ITEM_22_0021,Firewyrm's Jewel,94DD261D,Treasure; LE 1D26DD94; 1D26DD94; Google Sheet sync
ITEM_22_0030,Blue Dragon Scale,F90A5398,Treasure; LE 98530AF9; 98530AF9; Google Sheet sync
ITEM_22_0031,Icewyrm's Jewel,51355C28,Treasure; inferred weapon uncap wyrm material; LE 285C3551; GBID sequence
ITEM_22_0040,Brown Dragon Scale,9D598751,Treasure; LE 5187599D; 5187599D; Google Sheet sync
ITEM_22_0041,Earthwyrm's Jewel,CDDE3137,Treasure; LE 3731DECD; 3731DECD; Google Sheet sync
ITEM_22_0050,Green Dragon Scale,E82861B1,Treasure; inferred weapon uncap wyrm material; LE B16128E8; known material template
ITEM_22_0051,Windwyrm's Jewel,91CCBC0F,Treasure; screenshot confirmed missing uncap material; LE 0FBCCC91; known material template
ITEM_22_0060,White Dragon Scale,64473A6A,Treasure; inferred weapon uncap wyrm material; LE 6A3A4764; known material template
ITEM_22_0061,Whitewyrm's Jewel,98E75FCB,Treasure; inferred weapon uncap wyrm material; LE CB5FE798; known material template
ITEM_22_0070,Black Dragon Scale,9F548DB0,Treasure; LE B08D549F; B08D549F; Google Sheet sync
ITEM_22_0071,Blackwyrm's Jewel,9E75A958,Treasure; LE 58A9759E; 58A9759E; Google Sheet sync
ITEM_23_0000,Crewmate Card,35C7FBA0,Treasure; LE A0FBC735; A0FBC735; Google Sheet sync
ITEM_25_0001,Dread Wrightstone - 2 Traits,C1481583,Wrightstone; sheet WrightstonesIDS; old name alias Dread Wrightstone; Google Sheet sync
ITEM_25_0010,Dread Wrightstone - 3 Traits,AAE10C28,Wrightstone; sheet WrightstonesIDS; old name alias Dread Wrightstone; Google Sheet sync
ITEM_25_0011,Dread Wrightstone - 2 Traits - Transmarveled Good Quality,11A1B6B3,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_25_0012,Dread Wrightstone - 3 Traits - Transmarveled Good Quality,4E3989B8,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_25_0020,Dread Wrightstone - 3 Traits - Transmarveled Best Quality,AA4626F6,Wrightstone; sheet WrightstonesIDS; missing local row; Google Sheet sync
ITEM_25_0130,Dread Wrightstone - traits LV 15/10/7,BCDBC4B6,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_25_0131,Dread Wrightstone - traits LV 20/15/10,09E6F629,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_26_0000,Vitality Wrightstone - 1 Trait,552D70ED,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_26_0010,Vitality Wrightstone - 3 Traits,33E663D0,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_26_0011,Vitality Wrightstone - 2 Traits - Transmarveled Good Quality,95BF2C6F,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_26_0012,Vitality Wrightstone - 3 Traits - Transmarveled Good Quality,2CDFA192,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_26_0020,Vitality Wrightstone - 3 Traits - Transmarveled Best Quality,68B1AE43,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_26_0130,Vitality Wrightstone - traits LV 15/10/7,3EF6DEF5,Wrightstone; sheet WrightstonesIDS; fixes embedded ITEM_28 suffix; Google Sheet sync
ITEM_26_0131,Vitality Wrightstone - traits LV 20/15/10,71173866,Wrightstone; sheet WrightstonesIDS; fixes embedded ITEM_28 suffix; Google Sheet sync
ITEM_27_0010,Fortification Wrightstone - 3 Traits,A23F4F46,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_27_0011,Fortification Wrightstone - 2 Traits - Transmarveled Good Quality,817A2CC1,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_27_0012,Fortification Wrightstone - 3 Traits - Transmarveled Good Quality,BA78C0B2,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_27_0020,Fortification Wrightstone - 3 Traits - Transmarveled Best Quality,4D16FCAB,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_27_0130,Fortification Wrightstone - traits LV 15/10/7,BE6124AD,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_27_0131,Fortification Wrightstone - traits LV 20/15/10,667EE1D3,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_28_0010,Sequestration Wrightstone - 3 Traits,035C056D,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_28_0011,Sequestration Wrightstone - 2 Traits - Transmarveled Good Quality,F9D46AD2,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_28_0012,Sequestration Wrightstone - 3 Traits - Transmarveled Good Quality,AAB4C91A,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_28_0020,Sequestration Wrightstone - 3 Traits - Transmarveled Best Quality,7A1CF760,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_28_0130,Sequestration Wrightstone - traits LV 15/10/7,0BD373A4,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_28_0131,Sequestration Wrightstone - traits LV 20/15/10,202A0DB9,Wrightstone; sheet WrightstonesIDS; Google Sheet sync
ITEM_32_0050,Ancient Hollowpoint,5A5FA153,Treasure; sheet typo Ancient Holowpoint; LE 53A15F5A; 53A15F5A; Google Sheet sync
