Hash,Name,Category,Notes,Source
C4925BD7,Attack Power Up,OverMasteries,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: C4925BD7,Google Sheet gid 1539189767 ID/Search
68B39018,Chain Burst Damage Up,OverMasteries,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 68B39018,Google Sheet gid 1539189767 ID/Search
45C65767,Critical Rate,OverMasteries,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 45C65767,Google Sheet gid 1539189767 ID/Search
54929589,Healing Cap Up,OverMasteries,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 54929589,Google Sheet gid 1539189767 ID/Search
52A207B5,Health Up,OverMasteries,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 52A207B5,Google Sheet gid 1539189767 ID/Search
43B7581D,Normal Damage Cap Up,OverMasteries,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 43B7581D,Google Sheet gid 1539189767 ID/Search
4A4C093D,SBA Damage Cap Up,OverMasteries,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 4A4C093D,Google Sheet gid 1539189767 ID/Search
4E42646B,SBA Damage Up,OverMasteries,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 4E42646B,Google Sheet gid 1539189767 ID/Search
9C555433,Skill Damage Cap Up,OverMasteries,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 9C555433,Google Sheet gid 1539189767 ID/Search
9A97C049,Skill Damage Up,OverMasteries,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 9A97C049,Google Sheet gid 1539189767 ID/Search
6CB38EF3,Stun Power Up,OverMasteries,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 6CB38EF3,Google Sheet gid 1539189767 ID/Search
71EE77EB,Perfect Dodge,Defense,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 71EE77EB,Google Sheet gid 1539189767 ID/Search
B01E834C,Perfect Guard,Defense,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: B01E834C,Google Sheet gid 1539189767 ID/Search
23230C1E,Health Up,Defense,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 23230C1E,Google Sheet gid 1539189767 ID/Search
8E8A54BC,Stun Power Up,Offense,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 8E8A54BC,Google Sheet gid 1539189767 ID/Search
7B727910,Sigil Adding,Offense,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 7B727910,Google Sheet gid 1539189767 ID/Search
F9A920EE,Critical Hit Rate Up (Link Time),Offense,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: F9A920EE,Google Sheet gid 1539189767 ID/Search
C4363A99,Stun Power up,Offense,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: C4363A99,Google Sheet gid 1539189767 ID/Search
B6A13CDC,Enhanced Arts Level (Link Time),Offense,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: B6A13CDC,Google Sheet gid 1539189767 ID/Search
F9AFD658,Back Attack Damage Up,Offense,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: F9AFD658,Google Sheet gid 1539189767 ID/Search
6E13DF92,Critical Hit Rate Up,Offense,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 6E13DF92,Google Sheet gid 1539189767 ID/Search
807E9E58,Attack Power Up,Offense,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 807E9E58,Google Sheet gid 1539189767 ID/Search
B5B470B8,B5B470B8,Mastery / ID Search,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: B5B470B8,Google Sheet gid 1539189767 ID/Search
87934DAE,Weak Point Damage Up,Offense,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 87934DAE,Google Sheet gid 1539189767 ID/Search
459C40E6,Faster Cooldowns (Link Time) -50%,Offense,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 459C40E6,Google Sheet gid 1539189767 ID/Search
949BA815,949BA815,Mastery / ID Search,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 949BA815,Google Sheet gid 1539189767 ID/Search
972D48E4,Link Level Gain Up,Offense,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 972D48E4,Google Sheet gid 1539189767 ID/Search
F5C314A0,F5C314A0,Mastery / ID Search,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: F5C314A0,Google Sheet gid 1539189767 ID/Search
08CBAC1D,Full Burst Enhanced Specs,Offense,Source: Downloaded Mastery ID/Search sheet gid 1539189767; Value column: QMX fallback; QMX alias: 08CBAC1D,Google Sheet gid 1539189767 ID/Search
