Hash,Name,Category,Notes,Source
45C65767,Critical Rate,Overmastery,OP MOD IDS: Character ID Slot #3 Critical Rate,Google Sheets Cheats_Mods gid 1672697976
C4925BD7,Attack Power Up,Overmastery,OP MOD IDS: Attack Power Up,Google Sheets Cheats_Mods gid 1672697976
43B7581D,Normal Damage Cap Up,Overmastery,OP MOD IDS: Normal Damage Cap Up,Google Sheets Cheats_Mods gid 1672697976
9C555433,Skill Damage Cap Up,Overmastery,OP MOD IDS: Skill Damage Cap Up,Google Sheets Cheats_Mods gid 1672697976
9A97C049,Skill Damage Up,Overmastery,OP MOD IDS: Skill Damage Up,Google Sheets Cheats_Mods gid 1672697976
52A207B5,Health Up,Overmastery,OP MOD IDS: Health Up,Google Sheets Cheats_Mods gid 1672697976
6CB38EF3,Stun Power Up,Overmastery,OP MOD IDS: Stun Power Up,Google Sheets Cheats_Mods gid 1672697976
4A4C093D,SBA Damage Cap Up,Overmastery,OP MOD IDS: SBA Damage Cap Up,Google Sheets Cheats_Mods gid 1672697976
4E42646B,SBA Damage Up,Overmastery,OP MOD IDS: SBA Damage Up,Google Sheets Cheats_Mods gid 1672697976
CB63BE55,Attack Power Up Variant 2,Overmastery / MED_EFF,Discovered from uploaded hashlist MED_EFF labels,Uploaded hashlist.7z
DCBD8423,Attack Power Up Variant 3,Overmastery / MED_EFF,Discovered from uploaded hashlist MED_EFF labels,Uploaded hashlist.7z
59DCE1E8,Attack Power Up Variant 4,Overmastery / MED_EFF,Discovered from uploaded hashlist MED_EFF labels,Uploaded hashlist.7z
F203BB15,Attack Power Up Variant 5,Overmastery / MED_EFF,Discovered from uploaded hashlist MED_EFF labels,Uploaded hashlist.7z
57BBC478,Health Up Variant 2,Overmastery / MED_EFF,Discovered from uploaded hashlist MED_EFF labels,Uploaded hashlist.7z
5A51F0CB,Health Up Variant 3,Overmastery / MED_EFF,Discovered from uploaded hashlist MED_EFF labels,Uploaded hashlist.7z
9C6375CF,Health Up Variant 4,Overmastery / MED_EFF,Discovered from uploaded hashlist MED_EFF labels,Uploaded hashlist.7z
F004E9F2,Health Up Variant 5,Overmastery / MED_EFF,Discovered from uploaded hashlist MED_EFF labels,Uploaded hashlist.7z
C4B86ED7,Critical Rate Variant 2,Overmastery / MED_EFF,Discovered from uploaded hashlist MED_EFF labels,Uploaded hashlist.7z
CEB0DBD2,Critical Rate Variant 3,Overmastery / MED_EFF,Discovered from uploaded hashlist MED_EFF labels,Uploaded hashlist.7z
A3545CA1,Stun Power Up Variant 2,Overmastery / MED_EFF,Discovered from uploaded hashlist MED_EFF labels,Uploaded hashlist.7z
59FBB7D8,Stun Power Up Variant 3,Overmastery / MED_EFF,Discovered from uploaded hashlist MED_EFF labels,Uploaded hashlist.7z
54929589,Recovery Cap Up,Overmastery / MED_EFF,Discovered from uploaded hashlist MED_EFF labels,Uploaded hashlist.7z
68B39018,Link/Burst Damage Up,Overmastery / MED_EFF,Discovered from uploaded hashlist MED_EFF labels,Uploaded hashlist.7z
