ID (QM X),ID (Seach/AM),Type,Name,Base Amount (Found By Using 0001)
C4925BD7,D75B92C4,OverMasteries,Attack Power Up,
68B39018,1890B368,OverMasteries,Chain Burst Damage Up,
45C65767,6757C645,OverMasteries,Critical Rate,
54929589,89959254,OverMasteries,Healing Cap Up,
52A207B5,B507A252,OverMasteries,Health Up,
43B7581D,1D58B743,OverMasteries,Normal Damage Cap Up,
4A4C093D,3D094C4A,OverMasteries,SBA Damage Cap Up,
4E42646B,6B64424E,OverMasteries,SBA Damage Up,
9C555433,3354559C,OverMasteries,Skill Damage Cap Up,
9A97C049,49C0979A,OverMasteries,Skill Damage Up,
6CB38EF3,F38EB36C,OverMasteries,Stun Power Up,
71EE77EB,EB77EE71,Defense,Perfect Dodge,Enables Use
B01E834C,4C831EB0,Defense,Perfect Guard,Enables Use
23230C1E,1E0C2323,Defense,Health Up,Add 20
8E8A54BC,BC548A8E,Offense,Stun Power Up,Add 4
7B727910,1079727B,Offense,Sigil Adding,Add 1 (Max = 8)
F9A920EE,EE20A9F9,Offense,Critical Hit Rate Up (Link Time),Add 2%
C4363A99,993A36C4,Offense,Stun Power up,
B6A13CDC,DC3CA1B6,Offense,Enhanced Arts Level (Link Time),Adept Arts is ALways Lvl IV skills dont reset it 
F9AFD658,58D6AFF9,Offense,Back Attack Damage Up,Add 2
6E13DF92,92DF136E,Offense,Critical Hit Rate Up,Add 2%
807E9E58,589E7E80,Offense,Attack Power Up,Add 5
B5B470B8,B870B4B5,,,
87934DAE,AE4D9387,Offense,Weak Point Damage Up,Add 1%
459C40E6,E6409C45,Offense,Faster Cooldowns (Link Time) -50%,-50%
949BA815,15A89B94,,,
972D48E4,E4482D97,Offense,Link Level Gain Up,Add 1%
F5C314A0,A014C3F5,,,
08CBAC1D,1DACCB08,Offense,Full Burst Enhanced Specs,Add 5%
5C18FD45,45FD185C,Offense,Stun Power Up,
15AFE5A1,A1E5AF15,Offense,Critical Hit Rate Up,Add 1%
F87DEEB9,B9EE7DF8,,,
874353D7,D7534387,Offense,Attack Power Up,Adds 3
7416F5D5,D5F51674,Offense,Attack Up (Link Time)+,Adds 2%
42F7C5BA,BAC5F742,Offense,Critical Hit Rate Up,
3356DD03,03DD5633,Offense,Stun Power Up,
F581C321,21C381F5,Offense,Skybound Art Damage Up,Adds 1%
5A9BF05E,5EF09B5A,Offense,Launch,Enables Use
C2D708C1,C108D7C2,Offense,Attack Power Up,Adds 2
AB56BDE3,E3BD56AB,,,
36510BF3,F30B5136,,,
390CE9D0,D0E90C39,,,
403BE586,86E53B40,,,
B0D4071F,1F07D4B0,,,
F9F6F61D,1DF6F6F9,,,
BFEA2037,3720EABF,,Health Up ,
4D3386E5,E586334D,Offense,Attack Power Up,
0A268710,1087260A,,,
76037FA7,A77F0376,,,
A982ADE1,E1AD82A9,,,
C38A4B6B,6B4B8AC3,Offense,Attack Power Up,
F39E6424,24649EF3,,,
CE4AE06B,6BE04ACE,,,
2CB23976,7639B22C,,,
1A2155E5,E555211A,,,
69516E16,166E5169,,,
422E5F47,475F2E42,,,
DD06D9E6,E6D906DD,,,
B1218F6F,6F8F21B1,,,
5C492FDB,DB2F495C,,,
0E146781,8167140E,,,
0F25B474,74B4250F,,,
D521C6E3,E3C621D5,,,
EE0C1CBC,BC1C0CEE,,,
0755E545,45E55507,,,
D3788A5E,5E8A78D3,,,
3755AAEE,EEAA5537,,,
2957AC4C,4CAC5729,,,
E541156C,6C1541E5,,,
6E2C409B,9B402C6E,,,
A58400C0,C00084A5,,,
4F153215,1532154F,,,
AD3F1F5D,5D1F3FAD,,,
69750E26,260E7569,,,
64B71571,7115B764,,,
79D673D4,D473D679,,,
9BB8E79F,9FE7B89B,,,
87C39144,4491C387,,,
A00E10FA,FA100EA0,,,
C8DAF672,72F6DAC8,,,
5CB5E983,83E9B55C,,,
E329E521,21E529E3,,,
CDEAD42E,2ED4EACD,,,
B8A83434,3434A8B8,,,
A92687AF,AF8726A9,,,
9550511A,1A515095,,,
CFB53920,2039B5CF,,,
BD2D783A,3A782DBD,,,
AE5F7548,48755FAE,,,
49089D4F,4F9D0849,,,
1D91C22D,2DC2911D,,,
BA007D38,387D00BA,,,
C709F71D,1DF709C7,,,
1D62C504,04C5621D,,,
6BA69F57,579FA66B,,,
5D8A0A9B,9B0A8A5D,,,
22C8B147,47B1C822,,,
76448253,53824476,,,
E67CD078,78D07CE6,,,
14DB5CD2,D25CDB14,,,
7EF42E2C,2C2EF47E,,,
104CC1EC,ECC14C10,,,
64152E54,542E1564,,,
1AFD9308,0893FD1A,,,
DFD20F2F,2F0FD2DF,,,
638F4407,07448F63,,,
CF5E0D39,390D5ECF,,,
BAA345F3,F345A3BA,,,
EDAC4736,3647ACED,,,
465436B5,B5365446,,,
3D0C48B0,B0480C3D,,,
14FF9034,3490FF14,,,
5768265F,5F266857,,,
45AD9601,0196AD45,,,
092BC082,82C02B09,,,
1A0F15F9,F9150F1A,,,
2D94A8B9,B9A8942D,,,
1D4D63ED,ED634D1D,,,
5559A0FE,FEA05955,,,
38F46723,2367F438,,,
E2FB2ADC,DC2AFBE2,,,
58F6559B,9B55F658,,,
62ACE5EC,ECE5AC62,,,
89F8A99F,9FA9F889,,,
4D2183E4,E483214D,,,
