id,name,hash,aliases
BH0002,Merchant's Cargo,9F1F2C85,Model Breakable Prop; Breakable props; Community model_ids
BH0003,Hallowed Ground,E4B1938E,Model Breakable Prop; Breakable props; Community model_ids
BH0004,Barricade,2F0394EF,Model Breakable Prop; Breakable props; Community model_ids
BH2002,20mm Ether Autocannon,D10A289B,Model Breakable Prop; Breakable props; Community model_ids
BH2005,Control Unit,41B93B1F,Model Breakable Prop; Breakable props; Community model_ids
EM0000,Goblin Stormer/Bandit/Striker/Gatherer/Trooper/Savage Carrion-Eater,3FBA2BF9,Model Enemy; Enemy bodies / parts; Community model_ids
EM0001,Goblin Witch Doctor/Hexer/Pyromancer,9F7B485C,Model Enemy; Enemy bodies / parts; Community model_ids
EM0002,Goblin Tanker/Mud-Covered Swordsman,50222387,Model Enemy; Enemy bodies / parts; Community model_ids
EM0003,Goblin Archer/Frenzied Archer,297E7359,Model Enemy; Enemy bodies / parts; Community model_ids
EM0004,Goblin Soldier/Gladiator/Rowdy Bord/Craver Janaf/Sandeater Gimza,78BFBC4B,Model Enemy; Enemy bodies / parts; Community model_ids
EM0005,Goblin Warrior/Greatshield Madbeat,3430642C,Model Enemy; Enemy bodies / parts; Community model_ids
EM0100,Skeleton/Mossy Skeleton,41C5D4AC,Model Enemy; Enemy bodies / parts; Community model_ids
EM0101,Frosty Bones/Withered Holy Knight/Icy Hexblade,FD5E32A9,Model Enemy; Enemy bodies / parts; Community model_ids
EM0102,Gerasene,92C616AF,Model Enemy; Enemy bodies / parts; Community model_ids
EM0103,Scarmiglione,A4B505AE,Model Enemy; Enemy bodies / parts; Community model_ids
EM0200,Timber Wolf/Sand Wolf/Ravenous Wolf,C8FFB06B,Model Enemy; Enemy bodies / parts; Community model_ids
EM0201,Goblin Wolfrider/Crimson Runner,0D7F71FF,Model Enemy; Enemy bodies / parts; Community model_ids
EM0300,Hornbird/Ominous Raptor/Crazed Crow/Minepecker,0EE16057,Model Enemy; Enemy bodies / parts; Community model_ids
EM0400,Wyvern,D8C3764B,Model Enemy; Enemy bodies / parts; Community model_ids
EM0500,Quakadile,D113B24B,Model Enemy; Enemy bodies / parts; Community model_ids
EM0501,Blizzadile,C619E058,Model Enemy; Enemy bodies / parts; Community model_ids
EM0502,Infernadile,A155F6E1,Model Enemy; Enemy bodies / parts; Community model_ids
EM0600,Slime,25F1F63C,Model Enemy; Enemy bodies / parts; Community model_ids
EM0601,Silverslime,70C7A922,Model Enemy; Enemy bodies / parts; Community model_ids
EM0602,Goldslime,6B62E6D7,Model Enemy; Enemy bodies / parts; Community model_ids
EM0603,King Silverslime,08B5C7BA,Model Enemy; Enemy bodies / parts; Community model_ids
EM0604,King Goldslime,2E6314CC,Model Enemy; Enemy bodies / parts; Community model_ids
EM0605,Prismatic Slime,F2D44D51,Model Enemy; Enemy bodies / parts; Community model_ids
EM0701,Cyaegha/Silent Watcher,21A74CD8,Model Enemy; Enemy bodies / parts; Community model_ids
EM0705,Ahriman,BC9BC892,Model Enemy; Enemy bodies / parts; Community model_ids
EM0706,Nazarbonju/Eternal Gaze,705293E1,Model Enemy; Enemy bodies / parts; Community model_ids
EM0800,Flame Gyre,89DC7A35,Model Enemy; Enemy bodies / parts; Community model_ids
EM0801,Aqua Gyre,7404AA2B,Model Enemy; Enemy bodies / parts; Community model_ids
EM0802,Earth Gyre,00AABE18,Model Enemy; Enemy bodies / parts; Community model_ids
EM0803,Wind Gyre,19E11D59,Model Enemy; Enemy bodies / parts; Community model_ids
EM0804,Light Gyre,803D76B6,Model Enemy; Enemy bodies / parts; Community model_ids
EM0805,Dark Gyre,AD7FA52F,Model Enemy; Enemy bodies / parts; Community model_ids
EM0900,Fire Spirit/Trialbeast Flame Elemental/Phondam Elemental/Vayoi Elemental/Torchlight Spirit/Crimson Phantom/Ruby Phantom/Shimmering Flame,9883E20B,Model Enemy; Enemy bodies / parts; Community model_ids
EM0901,Water Effigy,EBD8D09A,Model Enemy; Enemy bodies / parts; Community model_ids
EM0902,Water Spirit/Elemental/Phantom,4CB9018F,Model Enemy; Enemy bodies / parts; Community model_ids
EM0903,Wind Effigy,DE5C89AE,Model Enemy; Enemy bodies / parts; Community model_ids
EM1000,Aviaeth Saber/Aviaeth Trooper,37BAFA96,Model Enemy; Enemy bodies / parts; Community model_ids
EM1001,Aviaeth Lancer,8734C466,Model Enemy; Enemy bodies / parts; Community model_ids
EM1002,Aviaeth Archer,4F4A302D,Model Enemy; Enemy bodies / parts; Community model_ids
EM1003,Aviaeth Flagbearer/Aviaeth Honor Guard,D77291B1,Model Enemy; Enemy bodies / parts; Community model_ids
EM1004,Inquisitor Rook/Aviaeth Dreadnaught/Galcia the Saved/Hardened Rynell,22363037,Model Enemy; Enemy bodies / parts; Community model_ids
EM1005,Reaper Avalan/Sinner Balgas/Aviaeth Avenger/Deluded Derleth,80303AFC,Model Enemy; Enemy bodies / parts; Community model_ids
EM1006,Aviaeth Crusader,2F948B2B,Model Enemy; Enemy bodies / parts; Community model_ids
EM1100,Sword Veil Fellowship,619988AF,Model Enemy; Enemy bodies / parts; Community model_ids
EM1200,Vaza'ite Raptor,83583DE7,Model Enemy; Enemy bodies / parts; Community model_ids
EM1300,Droita Sentinel,B96D3030,Model Enemy; Enemy bodies / parts; Community model_ids
EM1301,Droita Mother/Droita Mother (Assault)/Droita Cyclops Prototype,DA348ED2,Model Enemy; Enemy bodies / parts; Community model_ids
EM1303,Droita Balsam/Torpedo Balsam,702D0126,Model Enemy; Enemy bodies / parts; Community model_ids
EM1500,Rock Golem,97DC204E,Model Enemy; Enemy bodies / parts; Community model_ids
EM1600,Griffin/Wraithwing/Goblin Eater/Obsidian Raptor,A5650509,Model Enemy; Enemy bodies / parts; Community model_ids
EM1700,Behemoth,19E1BA69,Model Enemy; Enemy bodies / parts; Community model_ids
EM1800,Ancient Dragon/Frumious Bandersnatch/Ferocious Garamud,6976F170,Model Enemy; Enemy bodies / parts; Community model_ids
EM1801,Vrazarek Firewyrm,213247DE,Model Enemy; Enemy bodies / parts; Community model_ids
EM1802,Wilinus Icewyrm,7E4740F2,Model Enemy; Enemy bodies / parts; Community model_ids
EM1803,Corvell Earthwyrm,A1F7696E,Model Enemy; Enemy bodies / parts; Community model_ids
EM1804,Elusious Windwyrm,3FD5B90E,Model Enemy; Enemy bodies / parts; Community model_ids
EM1805,Radis Whitewyrm,402E1D5F,Model Enemy; Enemy bodies / parts; Community model_ids
EM1806,Evyl Blackwyrm,4F25288B,Model Enemy; Enemy bodies / parts; Community model_ids
EM1900,Tayu'itar/Tayu'itar Mk II,AA8DD4B1,Model Enemy; Enemy bodies / parts; Community model_ids
EM2000,Gallanza,C259AF77,Model Enemy; Enemy bodies / parts; Community model_ids
EM2100,Maglielle/Mysterious Swordsman,AD041872,Model Enemy; Enemy bodies / parts; Community model_ids
EM2300,Id (Dragonform),8E9CE32E,Model Enemy; Enemy bodies / parts; Community model_ids
EM2400,Lilith,91CFE990,Model Enemy; Enemy bodies / parts; Community model_ids
EM2500,Pincer,33A37BD1,Model Enemy; Enemy bodies / parts; Community model_ids
EM2600,Cobra/Sand Reaper,8508963C,Model Enemy; Enemy bodies / parts; Community model_ids
EM2700,Sir Barrold,C6DA8864,Model Enemy; Enemy bodies / parts; Community model_ids
EM2800,Ominous Form/Vengeful Wraith/Calamitous Specter,7EE6F735,Model Enemy; Enemy bodies / parts; Community model_ids
EM3100,Pyet-A,73E6CAC4,Model Enemy; Enemy bodies / parts; Community model_ids
EM7000,Proto Bahamut,C3935B71,Model Enemy; Enemy bodies / parts; Community model_ids
EM7100,Vulkan Bolla,A8A7B24D,Model Enemy; Enemy bodies / parts; Community model_ids
EM7110,Vulkan Bolla Nihilla,5BE81AF9,Model Enemy; Enemy bodies / parts; Community model_ids
EM7200,Furycane,AC7E3B9B,Model Enemy; Enemy bodies / parts; Community model_ids
EM7210,Furycane Nihilla,9F28B156,Model Enemy; Enemy bodies / parts; Community model_ids
EM7300,Managarmr,447264C8,Model Enemy; Enemy bodies / parts; Community model_ids
EM7310,Managarmr Nihilla,20F54A05,Model Enemy; Enemy bodies / parts; Community model_ids
EM7400,Excavallion,DE872BD5,Model Enemy; Enemy bodies / parts; Community model_ids
EM7401,Talus Reactor (Excavallion),0E250876,Model Enemy; Enemy bodies / parts; Community model_ids
