id,name,hash,aliases
p100,Tempeal [p100],60447D30,Phase ID; Tempeal / early story; Community phase_ids
ph100,Tempeal [p100],BA913BD8,Phase Entity Code; p100; Tempeal / early story; Community phase_ids
p101,Zeghard Fortress [p101],EB9EA157,Phase ID; Tempeal / early story; Community phase_ids
ph101,Zeghard Fortress [p101],921454F6,Phase Entity Code; p101; Tempeal / early story; Community phase_ids
p102,The Hills [p102],A81C4390,Phase ID; Tempeal / early story; Community phase_ids
ph102,The Hills [p102],B48EA79A,Phase Entity Code; p102; Tempeal / early story; Community phase_ids
p103,Furycane Arena [p103],53EB72BC,Phase ID; Tempeal / early story; Community phase_ids
ph103,Furycane Arena [p103],4F14FD7A,Phase Entity Code; p103; Tempeal / early story; Community phase_ids
p104,"Furycane Arena (Foggy, Story Cutscene) [p104]",AC3C5B90,Phase ID; Tempeal / early story; Community phase_ids
ph104,"Furycane Arena (Foggy, Story Cutscene) [p104]",7319FA7C,Phase Entity Code; p104; Tempeal / early story; Community phase_ids
p150,? Spawns to empty sky. [p150],7F8CC926,Phase ID; Tempeal / early story; Community phase_ids
ph150,? Spawns to empty sky. [p150],4FFFDFD0,Phase Entity Code; p150; Tempeal / early story; Community phase_ids
p200,Grandcypher (Avia chase) [p200],2513D57F,Phase ID; Grandcypher / Avia; Community phase_ids
ph200,Grandcypher (Avia chase) [p200],4CCC94EB,Phase Entity Code; p200; Grandcypher / Avia; Community phase_ids
p201,Grandcypher (After avia chase?) [p201],DAB22F61,Phase ID; Grandcypher / Avia; Community phase_ids
ph201,Grandcypher (After avia chase?) [p201],FBBEB7CD,Phase Entity Code; p201; Grandcypher / Avia; Community phase_ids
p202,Avia ship [p202],F2F42B27,Phase ID; Grandcypher / Avia; Community phase_ids
ph202,Avia ship [p202],C2C370F9,Phase Entity Code; p202; Grandcypher / Avia; Community phase_ids
p203,"Grandcypher, avia ship to the right [p203]",D443F5B6,Phase ID; Grandcypher / Avia; Community phase_ids
ph203,"Grandcypher, avia ship to the right [p203]",ED903A15,Phase Entity Code; p203; Grandcypher / Avia; Community phase_ids
p300,Leautagne Island Mountain [p300],065714C5,Phase ID; Leautagne Island; Community phase_ids
ph300,Leautagne Island Mountain [p300],B97B6196,Phase Entity Code; p300; Leautagne Island; Community phase_ids
p400,Dahli Island Story Start [p400],16CDD907,Phase ID; Dahli Island; Community phase_ids
ph400,Dahli Island Story Start [p400],F3B4F74C,Phase Entity Code; p400; Dahli Island; Community phase_ids
p401,Dahli Island Center (Excavallion fight?) [p401],9F0396F7,Phase ID; Dahli Island; Community phase_ids
ph401,Dahli Island Center (Excavallion fight?) [p401],67F9EB53,Phase Entity Code; p401; Dahli Island; Community phase_ids
p402,Dahli Island (Under?) [p402],5CB160FE,Phase ID; Dahli Island; Community phase_ids
ph402,Dahli Island (Under?) [p402],2EC279A9,Phase Entity Code; p402; Dahli Island; Community phase_ids
p500,Phondam Isles Story Start [p500],03919616,Phase ID; Phondam Isles / Vulkan Bolla; Community phase_ids
ph500,Phondam Isles Story Start [p500],92A7591B,Phase Entity Code; p500; Phondam Isles / Vulkan Bolla; Community phase_ids
p501,Grandcypher [p501],B07E02F4,Phase ID; Phondam Isles / Vulkan Bolla; Community phase_ids
ph501,Grandcypher [p501],365C3522,Phase Entity Code; p501; Phondam Isles / Vulkan Bolla; Community phase_ids
p502,Vulkan Bolla Arena [p502],59F39533,Phase ID; Phondam Isles / Vulkan Bolla; Community phase_ids
ph502,Vulkan Bolla Arena [p502],086AFEEE,Phase Entity Code; p502; Phondam Isles / Vulkan Bolla; Community phase_ids
p503,Vulkan Bolla Arena (2) [p503],75CD5E25,Phase ID; Phondam Isles / Vulkan Bolla; Community phase_ids
ph503,Vulkan Bolla Arena (2) [p503],5FCD6346,Phase Entity Code; p503; Phondam Isles / Vulkan Bolla; Community phase_ids
p600,"Seedhollow (Arena 1, Bridge) [p600]",790BA737,Phase ID; Seedhollow / Angra Mainyu; Community phase_ids
ph600,"Seedhollow (Arena 1, Bridge) [p600]",D8A31CB0,Phase Entity Code; p600; Seedhollow / Angra Mainyu; Community phase_ids
p601,Angra Mainyu Arena [p601],BF4ECDE2,Phase ID; Seedhollow / Angra Mainyu; Community phase_ids
ph601,Angra Mainyu Arena [p601],DF29BC2A,Phase Entity Code; p601; Seedhollow / Angra Mainyu; Community phase_ids
p602,Seedhollow (?) [p602],557746C6,Phase ID; Seedhollow / Angra Mainyu; Community phase_ids
ph602,Seedhollow (?) [p602],DF43EBBF,Phase Entity Code; p602; Seedhollow / Angra Mainyu; Community phase_ids
p700,Pillar of Vayoi Start [p700],676B7CAD,Phase ID; Pillar of Vayoi / Versa / Lucilius; Community phase_ids
ph700,Pillar of Vayoi Start [p700],B73AA060,Phase Entity Code; p700; Pillar of Vayoi / Versa / Lucilius; Community phase_ids
p701,Bahamut Versa Sky Arena [p701],8BAE786B,Phase ID; Pillar of Vayoi / Versa / Lucilius; Community phase_ids
