category,id,name,source,aliases
Quest/Stage,100000,Prologue - Game Intro,Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,100001,Chapter 1 - Forest & Quakadile Fight,Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,100002,Prologue - Repressed Memory,Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,100003,Chapter 1 - Our Lives Are Linked,Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,100005,Prologue - Ruffled Wings,Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,100006,Prologue - Bahamut Fight,Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,101000,Chapter 1 - Folka,Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,101001,Chapter 2 - Skyboat Cutscene + The Hills,Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,101002,Chapter 2 - Zeghard Fortress,Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,101003,Chapter 3 - Tampeal Mines,Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,101004,Chapter 3 - Furycane Boss Fight,Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,101005,Chapter 3 - Mysterious Swordman/Id Fight,Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,101F00,Chapter 2 - Skyboat Travel (Chapter 2 Start),Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,102000,Chapter 4 - Initial Cutscene + Folca Church Cutscene,Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,102002,Chapter 4 - Ship Chase,Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,102F00,Chapter 4 - Grandcypher (Chapter 4 Start),Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,103001,Chapter 5 - Mt. Neigelith,Community quest_id.csv,Quest IDs; Data Version 1.3.x
Quest/Stage,103F00,Chapter 5 - Grandcypher (Leutagne Airspace),Community quest_id.csv,Quest IDs; Data Version 1.3.x
