category,id,name,decimal,source,aliases
Action - Cagliostro,1000,Mimic Doll,1000,Community action_ids.md,
Action - Cagliostro,1110,Mehen,1110,Community action_ids.md,
Action - Cagliostro,1410,Disruption,1410,Community action_ids.md,
Action - Cagliostro,1700,Alexandria,1700,Community action_ids.md,
Action - Cagliostro,1800,Pain Train,1800,Community action_ids.md,
Action - Captain,1001,Overdrive Surge (Arts I),1001,Community action_ids.md,
Action - Captain,1002,Overdrive Surge (Arts II),1002,Community action_ids.md,
Action - Captain,1003,Overdrive Surge (Arts III),1003,Community action_ids.md,
Action - Captain,1004,Overdrive Surge (Arts IV),1004,Community action_ids.md,
Action - Captain,1201,Decimate (Arts I),1201,Community action_ids.md,
Action - Captain,1202,Decimate (Arts II),1202,Community action_ids.md,
Action - Captain,1203,Decimate (Arts III),1203,Community action_ids.md,
Action - Captain,1204,Decimate (Arts IV),1204,Community action_ids.md,
Action - Captain,1301,Rain of Arrows (Arts I),1301,Community action_ids.md,
Action - Captain,1302,Rain of Arrows (Arts II),1302,Community action_ids.md,
Action - Captain,1303,Rain of Arrows (Arts III),1303,Community action_ids.md,
Action - Captain,1304,Rain of Arrows (Arts IV),1304,Community action_ids.md,
Action - Captain,1501,Armor Break (Arts I),1501,Community action_ids.md,
Action - Captain,1502,Armor Break (Arts II),1502,Community action_ids.md,
Action - Captain,1503,Armor Break (Arts III),1503,Community action_ids.md,
Action - Captain,1504,Armor Break (Arts IV),1504,Community action_ids.md,
Action - Captain,2001,Reginleiv (Arts I),2001,Community action_ids.md,
Action - Captain,2002,Reginleiv (Arts II),2002,Community action_ids.md,
Action - Captain,2003,Reginleiv (Arts III),2003,Community action_ids.md,
Action - Captain,2004,Reginleiv (Arts IV),2004,Community action_ids.md,
Action - Captain,2410,Dispel (Arts I),2410,Community action_ids.md,
Action - Captain,2411,Dispel (Arts II),2411,Community action_ids.md,
Action - Captain,2412,Dispel (Arts III),2412,Community action_ids.md,
Action - Captain,2413,Dispel (Arts IV),2413,Community action_ids.md,
Action - Charlotta,1100,Shining Onslaught,1100,Community action_ids.md,
Action - Charlotta,1200,Rising Cut,1200,Community action_ids.md,
Action - Charlotta,1600,Sword of Lumiel (Hold),1600,Community action_ids.md,
Action - Charlotta,1610,Sword of Lumiel,1610,Community action_ids.md,
Action - Charlotta,1700,Holy Ladder,1700,Community action_ids.md,
Action - Eugen,1,Sumrak,1,Community action_ids.md,
Action - Eugen,2,Detonator (No Charge),2,Community action_ids.md,
Action - Eugen,22,Detonator (Half Charge),22,Community action_ids.md,
Action - Eugen,3,Intercept,3,Community action_ids.md,
Action - Eugen,32,Detonator (Full Charge),32,Community action_ids.md,
Action - Eugen,4,Armor-Piercing Round,4,Community action_ids.md,
Action - Eugen,5,Venom Grenade,5,Community action_ids.md,
Action - Eugen,6,Paralyzing Bullet,6,Community action_ids.md,
Action - Eugen,8,Disruptor,8,Community action_ids.md,
Action - Ferry,1000,Purge Spirits,1000,Community action_ids.md,
Action - Ferry,1100,Blaues Gespenst,1100,Community action_ids.md,
Action - Ferry,1210,Sic Em Geegee,1210,Community action_ids.md,
Action - Ferry,1340,Benediction,1340,Community action_ids.md,
Action - Ferry,1400,Pendel,1400,Community action_ids.md,
Action - Ferry,1500,Strafe,1500,Community action_ids.md,
Action - Ferry,1640,Hinrichten,1640,Community action_ids.md,
Action - Ferry,1700,Umlauf,1700,Community action_ids.md,
Action - Ghandagoza,1000,Arhat Skybreaker,1000,Community action_ids.md,
Action - Ghandagoza,1100,Branding Palm,1100,Community action_ids.md,
Action - Ghandagoza,1200,Iron Shoulder,1200,Community action_ids.md,
Action - Ghandagoza,1500,Infernal Stomp,1500,Community action_ids.md,
Action - Id,1,Reginleiv Recidiv,1,Community action_ids.md,
Action - Id,2,Unbound,2,Community action_ids.md,
Action - Id,3,Atonement,3,Community action_ids.md,
Action - Id,4,Ragnarok Form,4,Community action_ids.md,
Action - Id,5,Scourge,5,Community action_ids.md,
Action - Id,6,Fourfold Vengeance,6,Community action_ids.md,
Action - Id,7,Never Enough,7,Community action_ids.md,
Action - Id,8,Arcadia,8,Community action_ids.md,
Action - Id,900,Transformation,900,Community action_ids.md,
Action - Id Dragonform,0,Light Blast (Enter Dragonform),0,Community action_ids.md,
Action - Id Dragonform,1000,Reginleiv Recidiv (Dragonform),1000,Community action_ids.md,
Action - Id Dragonform,1100,Scourge (Dragonform),1100,Community action_ids.md,
Action - Id Dragonform,1200,Never Enough (Dragonform),1200,Community action_ids.md,
Action - Id Dragonform,1300,Arcadia (Dragonform),1300,Community action_ids.md,
Action - Id Dragonform,4,Ragnarok Form,4,Community action_ids.md,
Action - Id Dragonform,900,Transformation,900,Community action_ids.md,
Action - Io,2000,Freeze,2000,Community action_ids.md,
Action - Io,3000,Fire,3000,Community action_ids.md,
Action - Io,4000,Flowery Seven,4000,Community action_ids.md,
Action - Io,4001,Flowery Seven (Full Charge),4001,Community action_ids.md,
Action - Io,7200,Gravity Well (Mystic Vortex 0),7200,Community action_ids.md,
Action - Io,8200,Lightning (Mystic Vortex 0),8200,Community action_ids.md,
Action - Katalina,1,Enchanted Lands,1,Community action_ids.md,
Action - Katalina,2,Winter's Rain,2,Community action_ids.md,
Action - Katalina,200,Oathsworn Blade 1,200,Community action_ids.md,
Action - Katalina,201,Oathsworn Blade 2,201,Community action_ids.md,
Action - Katalina,202,Oathsworn Blade 3,202,Community action_ids.md,
Action - Katalina,4,Sacred Winds,4,Community action_ids.md,
Action - Katalina,5,Azure Sword,5,Community action_ids.md,
Action - Katalina,6,Light Wall,6,Community action_ids.md,
Action - Katalina,7,Frost Blade,7,Community action_ids.md,
Action - Lancelot,1000,Blade Impulse,1000,Community action_ids.md,
Action - Lancelot,1100,Kaltzwinger,1100,Community action_ids.md,
Action - Lancelot,1200,Lawinensturm,1200,Community action_ids.md,
Action - Lancelot,1400,Turbulenz,1400,Community action_ids.md,
Action - Lancelot,1500,Southern Cross,1500,Community action_ids.md,
Action - Narmaya,1,Kyokasuigetsu,1,Community action_ids.md,
Action - Narmaya,1000,Dawnfly Finisher,1000,Community action_ids.md,
Action - Narmaya,1200,Freeflutter Stance,1200,Community action_ids.md,
Action - Narmaya,2,Setsuna,2,Community action_ids.md,
Action - Narmaya,2000,Freeflutter Finisher,2000,Community action_ids.md,
Action - Narmaya,3,Apex of Nothingness (No Counter),3,Community action_ids.md,
Action - Narmaya,4,Crescent Moon,4,Community action_ids.md,
Action - Narmaya,5,Transient,5,Community action_ids.md,
Action - Percival,1,Feuerangriff,1,Community action_ids.md,
Action - Percival,4,Zerreissen,4,Community action_ids.md,
Action - Percival,6,Macht,6,Community action_ids.md,
Action - Percival,7,Royal Authority,7,Community action_ids.md,
Action - Percival,8,Roter Wirbel,8,Community action_ids.md,
Action - Rackam,1,Spitfire,1,Community action_ids.md,
Action - Rackam,2,Bullet Hail,2,Community action_ids.md,
Action - Rackam,200,Bulls Eye Blast,200,Community action_ids.md,
Action - Rackam,201,Bulls Eye Blast II,201,Community action_ids.md,
Action - Rackam,202,Bulls Eye Blast III,202,Community action_ids.md,
Action - Rackam,203,Bulls Eye Blast IV,203,Community action_ids.md,
Action - Rackam,204,Bulls Eye Blast V,204,Community action_ids.md,
Action - Rackam,5,Coffinmaker,5,Community action_ids.md,
Action - Rackam,7,Slag Shot,7,Community action_ids.md,
